,Unique_Reference_Number,Newspaper,Date,Event_Date,Country,State/Province,City,Organization_Hosting,Event_Location,Persons,Price_Event,Revenue,Attendance,Contains_BOF,Aditional_Comments,Archive,Unnamed: 0,'File' Attachments,Notes,Place Published,Location,Record Number,Reference Type,Short Title,Title,Year,Reference Type.1,Edition,Issue,Reporter,County,Event Date
122,,The Enterprise,1891-06-03,,,,,,,,,,,,,Chronicling America,122.0,"internal-pdf://2044897758/The Enterprise, June 03, 1891.pdf",,M.E. Parsonage,"Wellington, Ohio",5934.0, Newspaper Article,,,"May 30, 1891",,,,,,
408,,St. Johnsbury Caledonian,1891-08-06,,,,,,,,,,,,,Chronicling America,408.0,"internal-pdf://2039723617/St. Johnsbury Caledonian, August 06, 1891.pdf",,,"St. Johnsbury, Vermont",6332.0, Newspaper Article,Christian Endeavor Society,Christian Endeavor Society,"August 07, 1891",,,,,,
309,,Orleans County Monitor,1891-08-10,,,,,,,,,,,,,Chronicling America,309.0,"internal-pdf://0943947733/Orleans County Monitor, August 10, 1891.pdf",Also mentioned August 24.,WRC Hall,"Barton, Vermont",6158.0, Newspaper Article,Ladies of WRC,Ladies of WRC,"September 02, 1891",,,,,,
88,,Vermont Phoenix,1891-08-21,,,,,,,,,,,,,Chronicling America,88.0,"internal-pdf://1369602723/Vermont Phoenix, August 21, 1891.pdf",,Lawn at Lindenhurst,"Brattleboro, Vermont",6653.0, Newspaper Article,Ruthians,Ruthians,,,,,,,"August 20, 1891"
436,,St. Johnsbury Caledonian,1891-08-27,,,,,,,,,,,,,Chronicling America,436.0,"internal-pdf://2542116721/St. Johnsbury Caledonian, August 27, 1891.pdf",,Town Hall,"St. Johnsbury, Vermont",6333.0, Newspaper Article,,,"September 03, 1891",,,,,,
475,,The Wahpeton times,1891-08-27,,,,,,,,,,,,,Chronicling America,475.0,"internal-pdf://0164826621/The Wahpeton times, August 27, 1891.pdf",,D.E. Rice’s store,"Wahpeton, North Dakota",6415.0, Newspaper Article,Ladies’ Aid society of the M.E. church,Ladies’ Aid society of the M.E. church,"September 02, 1891",,,,,,
409,,St. Johnsbury Caledonian,1891-09-03,,,,,,,,,,,,,Chronicling America,409.0,"internal-pdf://1943003492/St. Johnsbury Caledonian, September 03, 1891.pdf",,,"St. Johnsbury, Vermont",6334.0, Newspaper Article,YPSMW,YPSMW,"August 28, 1891",,,,,,
233,,Vermont phoenix,1891-09-11,,,,,,,,,,,,,Chronicling America,233.0,"internal-pdf://1782436839/Vermont phœnix, September 11, 1891.pdf",,Church parlors,"Brattleboro, Vermont",6777.0, Newspaper Article,Congregational Y.P.S.C.E.,Congregational Y.P.S.C.E.,"September 15, 1891",,,,,,
15,,The Coconino Sun,1891-09-12,,,,,,,,,,,,,Chronicling America,15.0,"internal-pdf://3617318122/The Coconino Sun, September 12, 1891.pdf",Also mentioned September 19.,Hoswall Hall,"Flagstaff, Arizona",6474.0, Newspaper Article,Ladies of the Presbyterian church,Ladies of the Presbyterian church,,,,,,,"September 15, 1891"
445,,St. Paul daily globe,1891-09-13,,,,,,,,,,,,,Chronicling America,445.0,"internal-pdf://1927495991/St. Paul daily globe, September 13, 1891.pdf",,,"St. Paul, Minnesota",6278.0, Newspaper Article,Ladies of All Souls’ Universalist church,Ladies of All Souls’ Universalist church,"September 10, 1891",,,,,,
488,,Wheeling Sunday Register,1891-09-13,,,,,,,,,,,,,Chronicling America,488.0,"internal-pdf://1738076217/Wheeling Sunday Register, September 13, 1891.pdf",,Disciples’ Church,"Wheeling, West Virginia",6436.0, Newspaper Article,Y.P.S.C.E,Y.P.S.C.E,"September 21, 1891",,,,,,
237,,Pierre weekly free press,1891-09-17,,,,,,,,,,,,,Chronicling America,237.0,"internal-pdf://1713258260/Pierre weekly free press, September 17, 1891.pdf",Same event is referenced in the issue from September 24,"Owl restaurant building, next to H.J. Siems’ store","Pierre, South Dakota",6714.0, Newspaper Article,Presbyterian church society,Presbyterian church society,"September 18, 1891",,,,,,
244,,The Iola register,1891-09-18,,,,,,,,,,,,,Chronicling America,244.0,"internal-pdf://1713258261/The Iola register, September 18, 1891.pdf",Same event is referenced twice in the same issue and in the issues from September 25 and October 2,G.A.R. hall,"Iola, Kansas",6558.0, Newspaper Article,Presbyterian ladies,Presbyterian ladies,"September 25, 1891",,,,,,
477,,The Washburn leader,1891-09-19,,,,,,,,,,,,,Chronicling America,477.0,"internal-pdf://2371195998/The Washburn leader, September 19, 1891.pdf","Same event is referenced in Courier Democrat, September 24, 1891 and in The Dickinson press, September 19, 1891",,"Minot, North Dakota",6418.0, Newspaper Article,Ladies of the Methodist church of Minot,Ladies of the Methodist church of Minot,,,,,,,
146,R_205,The Brockport Republic,1891-10-22,"October 16, 1891",U.S.,NY,Hamlin,,Residence of F.B. Cary,F.B. Cary,42 cents,7.50$ USD,,n,"(1) An early reference to CS calls them ""Conundrum Course"" and (2) This is an eBOF were not only food is served: ""as likely to get a toothbrush as a cup of coffee""",,,,,,"Hamlin, NY, U.S.",,,,,,,,,,,
35,,Herald and News,1891-10-29,,,,,,,,,,,,,Chronicling America,35.0,"internal-pdf://2389393256/Herald and News, October 29, 1891.pdf",,Echo Farm,"West Randolph, Vermont",6658.0, Newspaper Article,Bethel Lympus people,Bethel Lympus people,,,,,,,"October 21, 1891"
55,,The Press,1891-10-29,,,,,,,,,,,,,Chronicling America,55.0,"internal-pdf://1713258262/The Press, October 29, 1891.pdf","Mentioned also October 22, November 5. Menu included in this edition",Sunday School Room,"Stafford Springs, Connecticut",6478.0, Newspaper Article,St. Mary’s Guild of Grace church,St. Mary’s Guild of Grace church,,,,,,,"October 29, 1891"
293,R_352,The Watertown Herald,1891-10-31,"November 05, 1891",U.S.,NY,LaFargeville,The Ladies,Lingenfelters Hall,,,,,n,,,,,,,"LaFargeville, NY, U.S.",,,,,,,,,,,
314,R_373,Watertown Times,1891-11-03,"November 05, 1891",U.S.,NY,LaFargeville,,Lingenfelters Hall,,,,,n,,,,,,,"LaFargeville, NY, U.S.",,,,,,,,,,,
315,R_374,Watertown Times,1891-11-10,"November 05, 1891",U.S.,NY,LaFargeville,,Lingenfelters Hall,,,~37$ USD,,n,References the same event as R_373,,,,,,"LaFargeville, NY, U.S.",,,,,,,,,,,
342,,The Portland daily press,1891-11-11,,,,,,,,,,,,,Chronicling America,342.0,"internal-pdf://3211441673/The Portland daily press, November 11, 1891.pdf",“served on the European plan”,Vestry of Congress Street M.E. church,"Portland, Maine",6216.0, Newspaper Article,King’s Daughters,King’s Daughters,"November 11, 1891",,,,,,
34,,Herald and News,1891-11-12,,,,,,,,,,,,,Chronicling America,34.0,"internal-pdf://3896290001/Herald and News, November 12, 1891.pdf",Also mentioned November 19.,Town hall,"West Randolph, Vermont",6659.0, Newspaper Article,Ladies of the M.E. Church,Ladies of the M.E. Church,,,,,,,"November 13, 1891"
