,Unique_Reference_Number,Newspaper,Date,Event_Date,Country,State/Province,City,Organization_Hosting,Event_Location,Persons,Price_Event,Revenue,Attendance,Contains_BOF,Aditional_Comments,Archive,Unnamed: 0,'File' Attachments,Notes,Place Published,Location,Record Number,Reference Type,Short Title,Title,Year,Reference Type.1,Edition,Issue,Reporter,County,Event Date
92,,Virginia Citizen,1901-04-12,,,,,,,,,,,,,Chronicling America,92.0,"internal-pdf://3006968059/Virignia Citizen, April 12, 1901.pdf",,Residence of J.M. McCarty,"Irvington, Virginia",6673.0, Newspaper Article,The Ladies Aid Society of the Presbyterian Church,The Ladies Aid Society of the Presbyterian Church,,,,,,,"28 March, 1901"
395,,The Seattle Star,1901-04-27,,,,,,,,,,,,,Chronicling America,395.0,"internal-pdf://3581805845/The Seattle Star, April 27, 1901.pdf",,,"Seattle, Washington",6429.0, Newspaper Article,Daughters of Rebekah,Daughters of Rebekah,25-Apr-01,,,,,,
16,,Evening star,1901-04-27,,,,,,,,,,,,,Chronicling America,16.0,"internal-pdf://2426206501/Evening star, April 27, 1901.pdf",,Laurel house,"Laurel, Washington D.C.",6528.0, Newspaper Article,Ladies of the Baptist Church,Ladies of the Baptist Church,26-Apr-01,,,,,,
152,,Bellows Falls times,1901-05-02,,,,,,,,,,,,,Chronicling America,152.0,"internal-pdf://1176911340/Bellows Falls times, May 02, 1901.pdf",Contains eBOF,Residence of Lucins Wellington,"Christian Hollow, Vermont",6800.0, Newspaper Article,,,3-May-01,,,,,,
151,,The Red Cloud chief,1901-05-03,,,,,,,,,,,,,Chronicling America,151.0,"internal-pdf://1927495990/The Red Cloud chief, May 03, 1901.pdf",Contains eBOF; same event is referenced in the issue from April 26,Residence of James Peterson,"Red Cloud, Nebraska",6614.0, Newspaper Article,Junior class,Junior class,3-May-01,,,,,,
28,R_87,Altamont Enterprise,1901-05-03,14-May-01,U.S.,NY,Thompson's Lake,,,,,,,n,,,,,,,"Thompson's Lake, NY, U.S.",,,,,,,,,,,
478,,The Washburn Times,1901-05-16,,,,,,,,,,,,,Chronicling America,478.0,"internal-pdf://1723578341/The Washburn Times, May 16, 1901.pdf",,,"Washburn, Wisconsin",6441.0, Newspaper Article,R.N. of A.,R.N. of A.,,,,,,,
225,,Middletown transcript,1901-05-25,,,,,,,,,,,,,Chronicling America,225.0,"internal-pdf://1335354336/Middletown transcript, May 25, 1901.pdf",,,"Delaware City, Delaware",6064.0, Newspaper Article,Ladies of the Organ Society of the M.E. Church,Ladies of the Organ Society of the M.E. Church,,,,,,,
166,,The Saint Paul globe,1901-05-26,,,,,,,,,,,,,Chronicling America,166.0,"internal-pdf://2534935302/The Saint Paul globe, May 26, 1901.pdf",,Central hall,"St. Paul, Minnesota",6600.0, Newspaper Article,"Acker corps, W.R.C., No. 7","Acker corps, W.R.C., No. 7",25-May-01,,,,,,
377,,The Saint Paul globe,1901-05-26,,,,,,,,,,,,,Chronicling America,377.0,"internal-pdf://1682085270/The Saint Paul globe, May 26, 1901.pdf",,Central hall,"St. Paul, Minnesota",6279.0, Newspaper Article,Acker Woman’s Relief corps,Acker Woman’s Relief corps,25-May-01,,,,,,
63,,The Salt Lake Herald,1901-07-07,,,,,,,,,,,,,Chronicling America,63.0,"internal-pdf://0389040739/The Salt Lake Herald, July 07, 1901.pdf",,,"Salt Lake City, Utah",6645.0, Newspaper Article,Mrs. R.H. Officer,Mrs. R.H. Officer,,,,,,,3-Jul-01
156,R_215,The Brooklyn Daily Eagle,1901-07-26,24-Jul-01,U.S.,NY,Bay Ridge/ Fort Hamilton,The Young People's Society of the East End Baptist Church,Residence of George Closter (404 Hendrix Street),George Closter; William A. Closter; Miss Jennie Winan; Sadle Schievely; Henry George Jackson; Mr. Bedell; Mr. Ward; Mr. Broome;,,,,n,,,,,,,"Bay Ridge/ Fort Hamilton, NY, U.S.",,,,,,,,,,,
469,,Vernon County Censor,1901-08-21,,,,,,,,,,,,,Chronicling America,469.0,"internal-pdf://2448857185/Vernon County Censor, August 21, 1901.pdf",,Church,"Virogua, Wisconsin",6439.0, Newspaper Article,,,22-Aug-01,,,,,,
327,,Peninsula Enterprise,1901-09-21,,,,,,,,,,,,,Chronicling America,327.0,"internal-pdf://3962693581/Peninsula Enterprise, September 21, 1901.pdf",,Church in Upshur’s neck,"Accomac, Virginia",6387.0, Newspaper Article,Ladies of Smith’s Chapel,Ladies of Smith’s Chapel,28-Sep-01,,,Also mentioned on September 28.,,,
13,,The Cecil Whig,1901-10-05,,,,,,,,,,,,,Chronicling America,13.0,"internal-pdf://3594751247/The Cecil Whig, October 05, 1901.pdf",,Old church building,"Elkton, Maryland",6505.0, Newspaper Article,The Golden Rod,The Golden Rod,,,,,,,3-Oct-01
39,,The Bellefontaine Republican,1901-10-22,,,,,,,,,,,,,Chronicling America,39.0,"internal-pdf://3130390640/The Bellefontaine Republican, October 22, 1901.pdf",,I W. Lewis,"Bellefontaine, Ohio",5944.0, Newspaper Article,Presbyterian C.E. Society,Presbyterian C.E. Society,24-Oct-01,,,,,,
325,,Peninsula Enterprise,1901-11-02,,,,,,,,,,,,,Chronicling America,325.0,"internal-pdf://0279121308/Peninsula Enterprise, November 02, 1901.pdf",,Church in Upshur’s neck,"Accomac, Virginia",6388.0, Newspaper Article,Ladies of Smith’s Chapel,Ladies of Smith’s Chapel,9-Nov-01,,,,,,
75,,Cameron County Press,1901-11-14,,,,,,,,,,,,,Chronicling America,75.0,"internal-pdf://1588145516/The Cameron County Press, November 14, 1901.pdf",,Old hardware store of Walker Howard & Co.,"Emporium, Pennsylvania",5980.0, Newspaper Article,Presbyterian Church,Presbyterian Church,15-Nov-01,,,,,,
432,,St. Johnsbury Caledonian,1901-11-20,,,,,,,,,,,,,Chronicling America,432.0,"internal-pdf://2863818118/St. Johnsbury Caledonian, November 20, 1901.pdf",Also mentioned November 27.,Academy Hall,"St. Johnsbury, Vermont",6331.0, Newspaper Article,,,15-Nov-01,,,,,,
200,,The Princeton union,1901-11-21,,,,,,,,,,,,,Chronicling America,200.0,"internal-pdf://1953443369/The Princeton union, November 21, 1901.pdf",,Greenbush church,"Princeton, Minnesota",6597.0, Newspaper Article,Ladies of the Greenbush Methodist church,Ladies of the Greenbush Methodist church,19-Nov-01,,,,,,
266,,The Norfolk weekly news-journal,1901-11-29,,,,,,,,,,,,,Chronicling America,266.0,"internal-pdf://3651368883/The Norfolk weekly news-journal, November 29.pdf",,,"Norfolk, Nebraska",6306.0, Newspaper Article,Ladies guild of Trinity church,Ladies guild of Trinity church,4-Dec-01,,,,,,
323,,Peninsula Enterprise,1901-12-14,,,,,,,,,,,,,Chronicling America,323.0,"internal-pdf://4161208866/Peninsula Enterprise, December 14, 1901.pdf",,,"Accomac, Virginia",6386.0, Newspaper Article,Missionary Society,Missionary Society,1-Jan-02,,,,,,
25,R_39,The Equity,1901-12-26,31-Dec-01,Canada,Quebec,Shawville,"Willing Workers of the Presbyterian Chiurch, Portage du Fort",,,,,,n,,BAnQ,,,,,"Shawville, Quebec, Canada",,,,,,,,,,,
74,,The Indianapolis journal,1902-01-02,,,,,,,,,,,,,Chronicling America,74.0,"internal-pdf://4146382453/The Indianapolis journal, January 02, 1902.pdf",,"Residence of A.A. Barnes, of 1740 North Meridian street","Indianapolis, Indiana",6540.0, Newspaper Article,Ladies’ social circle,Ladies’ social circle,3-Jan-02,,,,,,
38,,The Bellefontaine Republican,1902-01-07,,,,,,,,,,,,,Chronicling America,38.0,"internal-pdf://4084960728/The Bellefontaine Republican, January 07, 1902.pdf",Menu Included,Town Hall,"Bellefontaine, Ohio",5945.0, Newspaper Article,The Methodist Aid Society of Zanesfield,The Methodist Aid Society of Zanesfield,11-Jan-02,,,,,,
228,R_287,The Journal and Republican and Lowville Times,1902-01-09,17-Jan-02,U.S.,NY,New Bremen,The Ladies of the M.E. society,Residence of N.B. Lombar,N.B. Lombar,25 cents,,,n,"Also called ""bean social""",,,,,,"New Bremen, NY, U.S.",,,,,,,,,,,
489,,The Wichita daily eagle,1902-01-10,,,,,,,,,,,,,Chronicling America,489.0,"internal-pdf://4059243596/The Wichita daily eagle, January 10, 1902.pdf",,South Lawrence Christian church,"Wichita, Kansas",6199.0, Newspaper Article,Willing Workers,Willing Workers,10-Jan-02,,,,,,
267,,The North Platte semi-weekly tribune,1902-01-21,,,,,,,,,,,,,Chronicling America,267.0,"internal-pdf://0389040740/The North Platte semi-weekly tribune, January.pdf",,McNeel school house,"North Platte, Nebraska",6308.0, Newspaper Article,Harmony Sunday-school,Harmony Sunday-school,17-Jan-02,,,,,,
84,,Evening star,1902-01-25,,,,,,,,,,,,,Chronicling America,84.0,"internal-pdf://0304089162/Evening star, January 25, 1902.pdf",,Church lecture room,Washington D.C.,6526.0, Newspaper Article,Christian Endeavor society of the church of the Covenant,Christian Endeavor society of the church of the Covenant,24-Jan-02,,,,,,
47,,The Scranton tribune,1902-02-05,,,,,,,,,,,,,Chronicling America,47.0,"internal-pdf://3211441670/The Scranton tribune, February 05, 1902.pdf",Same event is referenced in the issue from February 8,Residence of George Hatfield,"Hallstead, Pennsylvania",6708.0, Newspaper Article,Christian Endeavor of the Presbyterian church,Christian Endeavor of the Presbyterian church,6-Feb-02,,,,,,
350,,The Press,1902-02-06,,,,,,,,,,,,,Chronicling America,350.0,"internal-pdf://3244173416/The Press, February 06, 1902.pdf",Same event is referenced in the issue from February 13,Congregational church,"Staffordville, Connecticut",6058.0, Newspaper Article,Ladies’ Aid society of the Congregational church,Ladies’ Aid society of the Congregational church,6-Feb-02,,,,,,
46,,The Press,1902-02-06,,,,,,,,,,,,,Chronicling America,46.0,"internal-pdf://2511712085/The Press, February 06, 1902.pdf",,,"Staffordville, Connecticut",6472.0, Newspaper Article,Ladies’ Aid society of the Congregational church,Ladies’ Aid society of the Congregational church,6-Feb-02,,,,,,
68,R_127,Courier and Freeman,1902-02-12,14-Feb-02,U.S.,NY,Raymondville,L.E. Barnett,Residence of L.E. Barnett,L.E. Barnett; Mrs. Babcock,,,,n,,,,,,,"Raymondville, NY, U.S.",,,,,,,,,,,
223,,Middlebury Register,1902-02-14,,,,,,,,,,,,,Chronicling America,223.0,"internal-pdf://1022963858/Middlebury Register, February 14, 1902.pdf",,Home of Mr and Mrs A.W. Foote,"Middlebury, Vermont",6365.0, Newspaper Article,,,18-Feb-02,,,,,,
56,,Evening journal,1902-02-15,,,,,,,,,,,,,Chronicling America,56.0,"internal-pdf://3172685999/Evening journal, February 15, 1902.pdf",,,"Wilmington, Delaware",6524.0, Newspaper Article,,,14-Feb-02,,,,,,
101,R_160,Olean Herald,1902-02-19,19-Feb-02,U.S.,NY,Olean,The church aid society of the A.M.E. church,,,,,,n,,,,,,,"Olean, NY, U.S.",,,,,,,,,,,
13,R_67,The Yonker's Statesman,1902-02-21,20-Feb-02,U.S.,NY,Yonkers,Doreas Society of Westminster Church,Church Lecture Room,,,,,n,"Says that the ""ladies who conducted the affair"" were dressed in costume, ""such as Martha Washington might have worn""",,,,,,"Yonkers, NY, U.S.",,,,,,,,,,,
495,,Windham County Reformer,1902-02-21,,,,,,,,,,,,,Chronicling America,495.0,"internal-pdf://2315541170/Windham County Reformer, February 21, 1902.pdf",,Town hall,"Brattleboro, Vermont",6378.0, Newspaper Article,L.L. Society,L.L. Society,13-Feb-02,,,,,,
391,,The Scranton Tribune,1902-02-22,,,,,,,,,,,,,Chronicling America,391.0,"internal-pdf://2555908875/The Scranton Tribune, February 22, 1902.pdf",Also mentioned February 24.,First Welsh Congregational Church,"Scranton, Pennsylvania",5976.0, Newspaper Article,,,22-Feb-02,,,,,,
264,R_323,The Ogdensburg Journal,1902-02-25,26-Feb-02,U.S.,NY,Ogdensburg,The Junior Endeavor Society of the Baptist Church,Church parlors,,25 cents,,,n,,,,,,,"Ogdensburg, NY, U.S.",,,,,,,,,,,
265,R_324,The Ogdensburg Journal,1902-02-26,26-Feb-02,U.S.,NY,Ogdensburg,The Junior Endeavor Society of the Baptist Church,Church parlors,,25 cents,,,n,References the same event as R_323,,,,,,"Ogdensburg, NY, U.S.",,,,,,,,,,,
232,R_291,The Long Island Farmer,1902-03-04,27-Feb-02,U.S.,NY,Woodhaven/Ozone Park,The King's Daughters of the Congregational church,,,,35$ USD,,n,,,,,,,"Woodhaven/Ozone Park, NY, U.S.",,,,,,,,,,,
24,R_83,Altamont Enterprise,1902-03-21,28-Mar-02,U.S.,NY,Boox,The Ladies of the Reformed Church,Hall,,,,,n,,,,,,,"Boox, NY, U.S.",,,,,,,,,,,
496,,Windham County Reformer,1902-03-21,,,,,,,,,,,,,Chronicling America,496.0,"internal-pdf://3668465678/Windham County Reformer, March 21, 1902.pdf",,,"Brattleboro, Vermont",6377.0, Newspaper Article,The Scorpion Club & Raymond Mason,The Scorpion Club & Raymond Mason,15-Mar-02,,,,,,
145,,The Saint Paul globe,1902-03-23,,,,,,,,,,,,,Chronicling America,145.0,"internal-pdf://3182432940/The Saint Paul globe, March 23, 1902.pdf",,Odd Fellows’ hall,"St. Paul, Minnesota",6582.0, Newspaper Article,"Royal Oak camp, R.N.A","Royal Oak camp, R.N.A",28-Mar-02,,,,,,
26,R_85,Altamont Enterprise,1902-03-28,28-Mar-02,U.S.,NY,Boox,,,,,,,n,,,,,,,"Boox, NY, U.S.",,,,,,,,,,,
347,,The Press,1902-04-03,,,,,,,,,,,,,Chronicling America,347.0,"internal-pdf://3692101149/The Press, April 03, 1902.pdf","Despite proximity to April 05 issue reference, they seem to be different events",Church vestry,"Mansfield, Connecticut",6059.0, Newspaper Article,Ladies’ Aid society of the Spring Hill Baptist church,Ladies’ Aid society of the Spring Hill Baptist church,1-Apr-02,,,,,,
9,,Waterbury Democrat,1902-04-18,,,,,,,,,,,,,Chronicling America,9.0,"internal-pdf://0945117268/Waterbury Democrat, April 18, 1902.pdf",,Congregational church,"Watertown, Connecticut",6463.0, Newspaper Article,,,17-Apr-02,,,,,,
15,,The Saint Paul globe,1902-04-26,,,,,,,,,,,,,Chronicling America,15.0,"internal-pdf://1335354333/The Saint Paul globe, April 26, 1902.pdf",,Central Christian church,"St. Paul, Minnesota",6583.0, Newspaper Article,,,25-Apr-02,,,,,,
156,,The times,1902-05-04,,,,,,,,,,,,,Chronicling America,156.0,"internal-pdf://2735703404/The times, May 04, 1902.pdf",,"Residence of Mr. Charles J. Billups, 424N. Twenty-fifth street","Richmond, Virginia",6802.0, Newspaper Article,Ladies’ Aid society of Leigh-Street Baptist church,Ladies’ Aid society of Leigh-Street Baptist church,6-May-02,,,,,,
26,,The Baltimore County union,1902-05-10,,,,,,,,,,,,,Chronicling America,26.0,"internal-pdf://1590079439/The Baltimore County union, May 10, 1902.pdf",Same event is referenced in the issue from May 17,Church grove,"Poplar, Maryland",6250.0, Newspaper Article,Ladies’ Aid society of Camp Chapel M.E. church,Ladies’ Aid society of Camp Chapel M.E. church,21-May-02,,,,,,
162,,Evening star,1902-05-16,,,,,,,,,,,,,Chronicling America,162.0,"internal-pdf://2442186204/Evening star, May 16, 1902.pdf",,,"Georgetown, Washington D.C.",6527.0, Newspaper Article,"Silver Star Lodge, No. 20, I.O.G.T., of Tenleytown, D.C.","Silver Star Lodge, No. 20, I.O.G.T., of Tenleytown, D.C.",15-May-02,,,,,,
24,R_27,The Sherbrooke Examiner,1902-06-25,2-Jul-02,Canada,Quebec,Erle,Ladies' Aid Society,Mr. Dawson's Hall,Mr. Lee Gorham,,,,n,,BAnQ,,,,,"Erle, Quebec, Canada",,,,,,,,,,,
226,,The midland journal,1902-07-11,,,,,,,,,,,,,Chronicling America,226.0,"internal-pdf://3287385117/The midland journal, July 11, 1902.pdf",Same event is referenced twice in the same issue and in the issue from July 18,"Residence of A.L. Gilford, College Green","Farmington, Maryland",6232.0, Newspaper Article,Ebenezer M.E. choir,Ebenezer M.E. choir,12-Jul-02,,,,,,
78,,The Cecil Whig,1902-07-12,,,,,,,,,,,,,Chronicling America,78.0,"internal-pdf://3182432942/The Cecil Whig, July 12, 1902.pdf",,"Residence of A.L. Gifford, College Green","Theodore, Maryland",6246.0, Newspaper Article,Ebenezer M.E. choir,Ebenezer M.E. choir,12-Jul-02,,,,,,
125,,Essex County Herald,1902-08-15,,,,,,,,,,,,,Chronicling America,125.0,"internal-pdf://1402961680/Essex County Herald, August 14, 1902.pdf",,Vestry,"Guildhall, Vermont",6126.0, Newspaper Article,Young Ladies of the Universalist Society,Young Ladies of the Universalist Society,14-Aug-02,,,,,,
16,R_47,The Revelstoke Herald,1902-08-28,"~August 25, 1902",Canada,British Columbia,Revelstoke,,Clinton Ave,,,,,n,Contains a joke-riddle connected to slavery,British Columbia Historical Newspapers,,,,,"Revelstoke, British Columbia, Canada",,,,,,,,,,,
231,,The Minneapolis journal,1902-10-13,,,,,,,,,,,,,Chronicling America,231.0,"internal-pdf://3194224867/The Minneapolis journal, October 13, 1902.pdf",Same event is referenced in the issue from October 21,Powderhorn hall,"Minneapolis, Minnesota",6274.0, Newspaper Article,"Sycamore camp, R.N.A.","Sycamore camp, R.N.A.",22-Oct-02,,,,,,
354,,The Press,1902-10-23,,,,,,,,,,,,,Chronicling America,354.0,"internal-pdf://2306743114/The Press, October 23, 1902.pdf",,,"Mansfield, Connecticut",6057.0, Newspaper Article,Men of Gurleyville,Men of Gurleyville,17-Oct-02,,,,,,
382,,The Salt Lake Herald,1902-11-09,,,,,,,,,,,,,Chronicling America,382.0,"internal-pdf://1782280522/The Salt Lake Herald, November 09, 1902.pdf",,,"Salt Lake City, Utah",6093.0, Newspaper Article,Miss Jennie Mitchell,Miss Jennie Mitchell,5-Nov-02,,,,,,
116,,Deseret Evening News,1902-11-11,,,,,,,,,,,,,Chronicling America,116.0,"internal-pdf://2901955280/Deseret Evening News, November 11, 1902.pdf",,,"Great Salt Lake City, Utah",5998.0, Newspaper Article,Miss Jennie Mitchell,Miss Jennie Mitchell,5-Nov-02,,,,,,
167,,Herald and News,1902-12-04,,,,,,,,,,,,,Chronicling America,167.0,"internal-pdf://1360613073/Herald and News, December 04, 1902.pdf",,Vestry,"West Randolph, Vermont",6366.0, Newspaper Article,Ladies’ Aid Society of the M.E. Church,Ladies’ Aid Society of the M.E. Church,6-Dec-02,,,,,,
307,R_366,Watertown Re-union,1902-12-27,2-Jan-03,U.S.,NY,Sanfords Corners,The Sunday school class No. 7,Residence of Francis Herrick,Francis Herrick,,,,n,,,,,,,"Sanfords Corners, NY, U.S.",,,,,,,,,,,
380,,The Salt Lake Herald,1903-01-11,,,,,,,,,,,,,Chronicling America,380.0,"internal-pdf://1760955944/The Salt Lake Herald, January 10, 1903.png",,,"Salt Lake City, Utah",6001.0, Newspaper Article,Mr GN Child,Mr GN Child,11-Jan-03,,,,,,
78,,Arizona republican,1903-01-14,,,,,,,,,,,,,Chronicling America,78.0,"internal-pdf://0304089163/Arizona republican, January 14, 1903.pdf",Contains very interesting eBOF in poem form / invitation in poem form,Church parlors,"Phoenix, Arizona",6447.0, Newspaper Article,Ladies of the Christian church,Ladies of the Christian church,15-Jan-03,,,,,,
194,,The Jersey City,1903-01-15,,,,,,,,,,,,,Chronicling America,194.0,"internal-pdf://2711809225/The Jersey City news, January 15, 1903.pdf",,,"Jersey City, New Jersey",6318.0, Newspaper Article,Epworth league of St. Paul’s M.E. church,Epworth league of St. Paul’s M.E. church,16-Jan-03,,,,,,
499,,The Yakima Herald,1903-01-21,,,,,,,,,,,,,Chronicling America,499.0,"internal-pdf://2560843747/The Yakima Herald, January 21, 1903.pdf",,Woodmen hall,"North Yakima, Washington",6424.0, Newspaper Article,,,6-Feb-03,,,,,,
187,,Hot Springs Weekly Star,1903-01-23,,,,,,,,,,,,,Chronicling America,187.0,"internal-pdf://1354270860/Hot Springs Weekly Star, January 23, 1903.pdf",Menu included.,Congregational Church,"Hot Springs, South Dakota",5986.0, Newspaper Article,Congregational Ladies Aid,Congregational Ladies Aid,28-Jan-03,,,,,,
99,R_158,Norwood News,1903-01-27,27-Jan-03,U.S.,NY,Norwood,Court Prudence ,Foresters' Hall,,,,,y,,,,,,,"Norwood, NY, U.S.",,,,,,,,,,,
229,R_288,The Katonah Times,1903-02-06,11-Feb-03,U.S.,NY,Katonah,The Social department of the Epworth League,Church hall,,,,,n,,,,,,,"Katonah, NY, U.S.",,,,,,,,,,,
48,,Orleans County monitor,1903-02-09,,,,,,,,,,,,,Chronicling America,48.0,"internal-pdf://1346811305/Orleans County monitor, February 09, 1903.pdf",,,"Newport, Vermont",6789.0, Newspaper Article,,,6-Feb-03,,,,,,
289,,Orleans County Monitor,1903-02-09,,,,,,,,,,,,,Chronicling America,289.0,"internal-pdf://0037487769/Orleans County Monitor, February 09, 1903.pdf",,G.A.R. Hall,"Barton, Vermont",6326.0, Newspaper Article,The Young Peoples’ Literary Circle,The Young Peoples’ Literary Circle,6-Feb-03,,,,,,
230,R_289,The Katonah Times,1903-02-13,11-Feb-03,U.S.,NY,Katonah,The Social department of the Epworth League,Church hall,,,,"""not largely attended""",n,References the same event as R_288,,,,,,"Katonah, NY, U.S.",,,,,,,,,,,
170,,Herald and News,1903-02-19,,,,,,,,,,,,,Chronicling America,170.0,"internal-pdf://0746349250/Herald and News, February 19, 1903.pdf",,,"West Randolph, Vermont",6367.0, Newspaper Article,The Universalists,The Universalists,21-Feb-03,,,,,,
65,,Evening journal,1903-02-20,,,,,,,,,,,,,Chronicling America,65.0,"internal-pdf://3829176415/Evening journal, February 21, 1903.pdf",,Church lecture room,"Wilmington, Delaware",6522.0, Newspaper Article,"Young People’s society Christian Endeavor, of West Presbyterian church","Young People’s society Christian Endeavor, of West Presbyterian church",20-Feb-03,,,,,,
231,R_290,The Katonah Times,1903-02-20,11-Feb-03,U.S.,NY,Katonah,The Social department of the Epworth League,Church hall,,,,"""not largely attended""",n,References the same event as R_288 and R_289,,,,,,"Katonah, NY, U.S.",,,,,,,,,,,
18,,Arizona republican,1903-03-05,,,,,,,,,,,,,Chronicling America,18.0,"internal-pdf://0304089167/Arizona republican, March 05, 1903.pdf",Event also referenced in the issues of March 6th and March 9th,Vacant store room in the Andre building,"Tempe, Arizona",6007.0, Newspaper Article,Baptist Ladies’ Aid society,Baptist Ladies’ Aid society,6-Mar-03,,,,,,
125,,Arizona republican,1903-03-05,,,,,,,,,,,,,Chronicling America,125.0,"internal-pdf://2426206502/Arizona republican, March 05, 1903.pdf",Contains eBOF (different from others),Vacant store room in the Andre building,"Phoenix, Arizona",6449.0, Newspaper Article,Ladies’ Aid society of the Baptist church,Ladies’ Aid society of the Baptist church,13-Mar-03,,,,,,
116,,Omaha daily bee,1903-03-05,,,,,,,,,,,,,Chronicling America,116.0,"internal-pdf://4265905637/Omaha daily bee, March 05, 1903.pdf",,"Residence of Miss Jessie Lininger, 522 Washington avenue","Omaha, Nebraska",6617.0, Newspaper Article,King’s Daughters of the First Baptist church,King’s Daughters of the First Baptist church,5-Mar-03,,,,,,
398,,The silver blade,1903-03-06,,,,,,,,,,,,,Chronicling America,398.0,"internal-pdf://0995706885/The silver blade, March 06, 1903.pdf",Contains eBOF; Same event is referenced in the issue from March 13,Hart’s hall,"Rathdrum, Idaho",6080.0, Newspaper Article,The Royal Neighbors,The Royal Neighbors,14-Mar-03,,,,,,
14,R_44,The Phoenix Pioneer,1903-03-07,12-Mar-03,Canada,British Columbia,Phoenix,The Ladies' Aid of the Presbyterian Church,Church,,5 cents,,,y,,British Columbia Historical Newspapers,,,,,"Phoenix, British Columbia, Canada",,,,,,,,,,,
74,,The Caldwell tribune,1903-03-07,,,,,,,,,,,,,Chronicling America,74.0,"internal-pdf://3442649988/The Caldwell tribune, March 07, 1903.pdf",,Odd Fellows’ Hall,"Caldwell, Idaho",6082.0, Newspaper Article,Ladies’ Aid society,Ladies’ Aid society,6-Mar-03,,,,,,
295,R_354,The Whitesville News,1903-03-12,6-Mar-03,U.S.,NY,Greenwood,The Ladies of the Christian Church,Residence of Denzel Freeland,Denzel Freeland,,,,n,,,,,,,"Greenwood, NY, U.S.",,,,,,,,,,,
407,,St. Johnsbury Caledonian,1903-04-01,,,,,,,,,,,,,Chronicling America,407.0,"internal-pdf://2383132803/St Johnbusy Caledonian, April 1, 1903 (2).pdf",,Church Parlors,"St. Johnsbury, Vermont",6112.0, Newspaper Article,Epworth League,Epworth League,3-Apr-03,,,,,,
404,,St. Johnsbury Caledonian,1903-04-01,,,,,,,,,,,,,Chronicling America,404.0,"internal-pdf://0661761150/St. Johnsbury Caledonian, April 01, 1903.pdf",,Valley Lodge,"St. Johnsbury, Vermont",6111.0, Newspaper Article,IOGT,IOGT,1-Apr-03,,,,,,
44,,The Bemidji pioneer,1903-04-16,,,,,,,,,,,,,Chronicling America,44.0,"internal-pdf://4005446149/The Bemidji pioneer, April 16, 1903.pdf","Contains eBOF; same event is referenced in The daily pioneer, April 30, 1903",,"Bemidji, Minnesota",6281.0, Newspaper Article,Modern Samaritans,Modern Samaritans,1-May-03,,,,,,
10,,The Western news,1903-04-22,,,,,,,,,,,,,Chronicling America,10.0,"internal-pdf://3259267542/The Western news, April 22, 1903.pdf",,Residence of Mrs. Lizzie Fowler,"Stevensville, Montana",6611.0, Newspaper Article,Ladies of the Presbyterian church,Ladies of the Presbyterian church,18-Apr-03,,,,,,
97,,The Daily Journal,1903-04-23,,,,,,,,,,,,,Chronicling America,97.0,"internal-pdf://1374344039/The Daily Journal, April 22, 1903.pdf",Menu included. Also mentioned on April 20.,Leslie M. E. Church,"Salem, Oregon",5949.0, Newspaper Article,Ladies’ Aid Society,Ladies’ Aid Society,21-Apr-03,,,,,,
281,R_340,The Pokeepsie Evening Enterprise,1903-04-28,29-Apr-03,U.S.,NY,Pokeepsie,Y.P.S.C.E. of the Ebenezer Baptist church,226 Union Street,,,,,n,,,,,,,"Pokeepsie, NY, U.S.",,,,,,,,,,,
117,R_176,Poughkeepsie Eagle,1903-05-05,1-May-03,U.S.,NY,Pleasant Valley,,M.E. church,,,,,n,,,,,,,"Pleasant Valley, NY, U.S.",,,,,,,,,,,
45,,Middletown Transcript,1903-05-23,,,,,,,,,,,,,Chronicling America,45.0,"internal-pdf://3520709980/Middletown Transcript, May 23, 1903.pdf",,,"Middletown, Delaware",6479.0, Newspaper Article,Young Ladies of Miss Margaret Pensel’s Sunday School Class,Young Ladies of Miss Margaret Pensel’s Sunday School Class,,,,,,,29-May-03
114,R_173,Poughkeepsie Eagle,1903-07-31,8-Aug-03,U.S.,NY,Milan,The Ladies of the Christian Church,,,,,,n,,,,,,,"Milan, NY, U.S.",,,,,,,,,,,
172,R_231,The Columbia Republican,1903-08-20,"~August 20, 1903",U.S.,NY,North Chatham,The Epworth League,,,,~10$ USD,,n,,,,,,,"North Chatham, NY, U.S.",,,,,,,,,,,
31,R_50,The Sherbrooke Examiner,1903-09-23,19-Sep-03,Canada,Quebec,South Dudswell,Miss Pearl Orr,Hall,Miss Pearl Orr,,,,n,,BAnQ,,,,,"South Dudswell, Quebec, Canada",,,,,,,,,,,
0,R_2,Wyoming County Times Warsaw,1903-09-23,2-Oct-03,U.S.,NY,Wyoming County,The Political Equality Club,,Mrs. S. B. Whitlock,,,,n,"Mentions ""a yellow tea held"" as another name for 'social gatherings' of the kind",,,,,,"Wyoming County, NY, U.S.",,,,,,,,,,,
14,,Amador ledger,1903-09-25,,,,,,,,,,,,,Chronicling America,14.0,"internal-pdf://0628175006/Amador ledger, September 25, 1903.pdf",,National hotel,"Jackson, California",6012.0, Newspaper Article,N.D.G.W.,N.D.G.W.,24-Sep-03,,,,,,
